Input_Size,Time
100000,0.165986
200000,0.253736
300000,0.42093
400000,0.573799
500000,0.673388
600000,0.878566
700000,0.980267
800000,1.0469
900000,1.22892
1000000,1.42554
1100000,1.54289
1200000,1.70795
1300000,1.90849
1400000,1.99058
1500000,2.01499
1600000,2.15061
1700000,2.30297
1800000,2.37637
1900000,2.47736
2000000,2.87029
2100000,3.03815
2200000,2.93449
2300000,3.14706
2400000,3.27006
2500000,3.41316
2600000,3.56994
2700000,3.76649
2800000,3.82764
2900000,4.0062
3000000,4.12471
3100000,4.22481
3200000,4.35756
3300000,4.52975
3400000,4.61053
3500000,4.76883
3600000,4.88591
3700000,4.92847
3800000,5.06661
3900000,5.16527
4000000,5.49723
4100000,5.58353
4200000,6.20503
4300000,5.79475
4400000,6.14376
4500000,6.1708
4600000,6.40313
4700000,6.49398
4800000,6.66462
4900000,6.92235
5000000,6.99045
