Ip_Size,Time
100000,0.0983522
200000,0.211603
300000,0.30578
400000,0.407867
500000,0.444525
600000,0.527549
700000,0.625328
800000,0.699589
900000,0.765499
1000000,0.849209
1100000,0.969488
1200000,1.0682
1300000,1.17984
1400000,1.24626
1500000,1.34879
1600000,1.41873
1700000,1.47744
1800000,1.57677
1900000,1.64863
2000000,1.74129
2100000,2.49734
2200000,1.96807
2300000,1.64287
2400000,1.69854
2500000,1.7647
2600000,1.85386
2700000,1.91654
2800000,2.01109
2900000,2.07941
3000000,2.1491
3100000,2.19587
3200000,2.2464
3300000,2.30829
3400000,2.37055
3500000,2.43387
3600000,3.15003
3700000,2.55223
3800000,2.61525
3900000,2.68541
4000000,2.76984
4100000,2.83196
4200000,2.95902
4300000,3.04795
4400000,3.11876
4500000,3.24259
4600000,3.32539
4700000,4.08884
4800000,3.49978
4900000,3.58132
5000000,3.66051
