Ip_Size,Time
100000,0.0153908
200000,0.0331798
300000,0.0505348
400000,0.0689578
500000,0.0865796
600000,0.105932
700000,0.124673
800000,0.145406
900000,0.16422
1000000,0.182776
1100000,0.200956
1200000,0.217704
1300000,0.240753
1400000,0.260083
1500000,0.277774
1600000,0.301646
1700000,0.317056
1800000,0.336612
1900000,0.365099
2000000,0.385738
2100000,0.404441
2200000,0.42359
2300000,0.44187
2400000,1.09238
2500000,0.48706
2600000,0.506437
2700000,0.529365
2800000,0.546191
2900000,0.5751
3000000,0.589334
3100000,0.61855
3200000,0.633669
3300000,0.654337
3400000,0.678987
3500000,0.700014
3600000,0.717808
3700000,0.753488
3800000,0.756673
3900000,0.778123
4000000,0.801255
4100000,0.833031
4200000,0.850258
4300000,0.866917
4400000,0.887385
4500000,0.915452
4600000,0.936156
4700000,0.957672
4800000,0.985195
4900000,0.998379
5000000,1.02477
