Input_Size,Time
100000,0.023149
200000,0.045285
300000,0.069632
400000,0.092346
500000,0.102968
600000,0.124640
700000,0.153199
800000,0.182373
900000,0.204682
1000000,0.213290
1100000,0.240272
1200000,0.268587
1300000,0.278456
1400000,0.301932
1500000,0.336477
1600000,0.376923
1700000,0.391923
1800000,0.409395
1900000,0.419734
2000000,0.436574
2100000,0.451206
2200000,0.482577
2300000,0.512475
2400000,0.519544
2500000,0.546294
2600000,0.560147
2700000,0.584341
2800000,0.603312
2900000,0.626497
3000000,0.647011
3100000,0.661524
3200000,0.689582
3300000,0.719458
3400000,0.745305
3500000,0.775251
3600000,0.780872
3700000,0.800606
3800000,0.827608
3900000,0.847916
4000000,0.876690
4100000,0.896959
4200000,0.900343
4300000,0.972243
4400000,0.968426
4500000,0.981724
4600000,1.007535
4700000,1.012038
4800000,1.073707
4900000,1.065950
5000000,1.092226
